ascii	437	ASCII	646	us-ascii						
big5	950	BIG5	big5-tw	csbig5						
big5hkscs		BIG5-HKSCS	big5-hkscs	hkscs						
cp037	037		IBM037	IBM039						
cp273			273	IBM273	csIBM273					
cp424			EBCDIC-CP-HE	IBM424						
cp437	437		437	IBM437						
cp500	500		EBCDIC-CP-BE	EBCDIC-CP-CH	IBM500					
cp720	720									
cp737	737									
cp775	775		IBM775							
cp850	850	CP850	850	IBM850						
cp852	852		852	IBM852						
cp855	855		855	IBM855						
cp856										
cp857	857		857	IBM857						
cp858	858		858	IBM858						
cp860	860		860	IBM860						
cp861	861		861	CP-IS	IBM861					
cp862	862	CP862	862	IBM862						
cp863	863		863	IBM863						
cp864	864		IBM864							
cp865	865		865	IBM865						
cp866	866	CP866	866	IBM866						
cp869	869		869	CP-GR	IBM869					
cp874	874	CP874								
cp875	875									
cp932	932	CP932	932	ms932	mskanji	ms-kanji	windows-31j			
cp949	949	CP949	949	ms949	uhc					
cp950	950	CP950	950	ms950						
cp1006										
cp1026	1026		ibm1026							
cp1125			1125	ibm1125	cp866u	ruscii				
cp1140	1140		ibm1140							
cp1250	1250	CP1250	windows-1250							
cp1251	1251	CP1251	windows-1251							
cp1252	1252	CP1252	windows-1252							
cp1253	1253	CP1253	windows-1253							
cp1254	1254	CP1254	windows-1254							
cp1255	1255	CP1255	windows-1255							
cp1256	1256	CP1256	windows-1256							
cp1257	1257	CP1257	windows-1257							
cp1258	1258	CP1258	windows-1258							
euc_jp	20932	EUC-JP	eucjp	ujis	u-jis					
euc_jis_2004			jisx0213	eucjis2004						
euc_jisx0213			eucjisx0213							
euc_kr	51949	EUC-KR	euckr	korean	ksc5601	ks_c-5601	ks_c-5601-1987	ksx1001	ks_x-1001	
gb2312	936	CP936	chinese	csiso58gb231280	euc-cn	euccn	eucgb2312-cn	gb2312-1980	gb2312-80	iso-ir-58
gbk	936	GBK	936	cp936	ms936					
gb18030	54936	GB18030	gb18030-2000							
hz	52936	HZ	hzgb	hz-gb	hz-gb-2312					
iso2022_jp	50220	ISO-2022-JP	csiso2022jp	iso2022jp	iso-2022-jp					
iso2022_jp_1		ISO-2022-JP-1	iso2022jp-1	iso-2022-jp-1						
iso2022_jp_2		ISO-2022-JP-2	iso2022jp-2	iso-2022-jp-2						
iso2022_jp_2004			iso2022jp-2004	iso-2022-jp-2004						
iso2022_jp_3			iso2022jp-3	iso-2022-jp-3						
iso2022_jp_ext			iso2022jp-ext	iso-2022-jp-ext						
iso2022_kr	50225	ISO-2022-KR	csiso2022kr	iso2022kr	iso-2022-kr					
latin_1	28591	ISO-8859-1	iso-8859-1	iso8859-1	8859	cp819	latin	latin1	L1	
iso8859_2	28592	ISO-8859-2	iso-8859-2	latin2	L2					
iso8859_3	28593	ISO-8859-3	iso-8859-3	latin3	L3					
iso8859_4	28594	ISO-8859-4	iso-8859-4	latin4	L4					
iso8859_5	28595	ISO-8859-5	iso-8859-5	cyrillic						
iso8859_6	28596	ISO-8859-6	iso-8859-6	arabic						
iso8859_7	28597	ISO-8859-7	iso-8859-7	greek	greek8					
iso8859_8	28598	ISO-8859-8	iso-8859-8	hebrew						
iso8859_9	28599	ISO-8859-9	iso-8859-9	latin5	L5					
iso8859_10		ISO-8859-10	iso-8859-10	latin6	L6					
iso8859_11		ISO-8859-11	iso-8859-11	thai						
iso8859_13	28603	ISO-8859-13	iso-8859-13	latin7	L7					
iso8859_14		ISO-8859-14	iso-8859-14	latin8	L8					
iso8859_15	28605	ISO-8859-15	iso-8859-15	latin9	L9					
iso8859_16		ISO-8859-16	iso-8859-16	latin10	L10					
johab	1361	JOHAB	cp1361	ms1361						
koi8_r										
koi8_t		KOI8-T								
koi8_u										
kz1048			kz_1048	strk1048_2002	rk1048					
mac_cyrillic	10007	MacCyrillic	maccyrillic							
mac_greek	10006	MacGreek	macgreek							
mac_iceland	10079	MacIceland	maciceland							
mac_latin2			maclatin2	maccentraleurope	mac_centeuro					
mac_roman		MacRoman	macroman	macintosh						
mac_turkish	10081	MacTurkish	macturkish							
ptcp154		PT154	csptcp154	pt154	cp154	cyrillic-asian				
shift_jis	932	SHIFT_JIS	csshiftjis	shiftjis	sjis	s_jis				
shift_jis_2004			shiftjis2004	sjis_2004	sjis2004					
shift_jisx0213			shiftjisx0213	sjisx0213	s_jisx0213					
utf_32		UTF-32	U32	utf32						
utf_32_be		UTF-32BE	UTF-32BE							
utf_32_le		UTF-32LE	UTF-32LE							
utf_16		UTF16	U16	utf16						
utf_16_be		UTF-16BE	UTF-16BE							
utf_16_le		UTF-16LE	UTF-16LE							
utf_7	65000	UTF-7	U7	unicode-1-1-utf-7						
utf_8	65001	UTF-8	U8	UTF	utf8	utf-8	cp65001			
utf_8_sig										
